ra,dec,u,g,r,i,z
269.998611639511,0.00196215120961481,23.45136,21.43502,20.44656,20.08639,19.74858
269.997628832911,0.000513699107726668,24.57052,22.60115,21.50781,21.13094,21.1031
270.00269749521,-0.000544961535222983,25.35926,23.17538,22.38482,22.10662,21.52862
270.00047971351,0.00299723797180513,21.71415,19.81021,18.85716,18.52543,18.28147
270.00223779521,0.00303442912755565,23.21243,22.20979,21.47168,21.19672,20.83151
270.000683847452,0.00379184374335808,19.12031,17.34839,16.38045,15.99029,15.72584
269.999838605169,0.0038632223882232,23.13689,20.78856,19.05733,18.40186,17.95956
270.004056338972,0.00157517842728232,21.13814,19.28028,18.30656,17.94187,17.69273
269.995417357341,-0.000116548601276815,26.5528,23.214,21.49024,20.25933,19.58771
269.996605674249,0.00319832570589696,21.5654,19.59712,18.72426,18.38893,18.2177
270.004002527952,0.00245101961854407,24.13155,22.91324,21.85558,21.31788,20.81317
270.000225339748,0.00504157909818311,25.70697,24.82659,22.34582,20.98469,20.19678
270.004197340872,0.00312833636733156,24.43455,23.94843,22.17952,21.01936,20.19806
269.995604977551,0.00338508961861884,25.28291,22.6525,20.98202,20.51152,20.28173
270.002618074437,0.00531020052828757,24.56019,24.80664,22.28205,21.56565,21.45606
270.005882307937,-0.000818153770889117,25.6023,24.12805,22.15325,22.314,22.03795
269.995677581573,0.00428285478814448,21.76154,20.22447,19.40846,19.1018,19.00927
270.001228692843,0.00607922926066493,24.6199,21.44617,20.27711,19.84237,19.6475
270.00597669238,0.00279707543948275,22.67059,21.78272,20.65198,20.30478,20.00463
270.006689816131,-4.65891409804809e-05,25.15162,23.61459,22.50127,22.02036,22.40035
270.004117112102,0.00564096940903573,19.23662,17.49702,16.62295,16.31374,16.12123
269.999244868048,0.00696032559856607,26.05032,22.80544,21.24621,20.4449,20.04387
269.998668357481,0.00714097629723533,23.62734,21.20631,20.23261,19.88232,19.64499
269.995377514257,0.00572421958160959,20.80858,19.15594,18.33921,17.96154,17.68237
269.993439465869,0.00428709522112709,26.13064,24.83932,22.56786,21.10008,20.35678
270.00804419867,0.00125293195437556,20.60747,19.13896,18.31495,18.01552,17.81033
269.992327057258,0.00328279475353444,24.07541,25.85202,22.5412,21.76978,21.42096
270.006000363537,0.00621348563531679,25.26224,24.79567,22.76259,22.07905,21.86232
269.992728685447,0.00494797147328867,22.02353,19.0874,17.89938,17.40755,17.03679
269.993425724012,0.00596874013287685,24.97511,23.10513,20.56929,19.01752,18.23577
270.004172072887,0.00807729399938471,22.07005,19.82912,18.90603,18.56105,18.32134
270.008976237023,0.00256968394056968,24.89808,23.41973,21.26905,20.70864,20.30209
269.990733934173,0.00205739658723284,22.76079,20.79623,19.89551,19.54572,19.28348
270.008367236953,0.0053168537861822,25.29203,24.21629,22.40588,21.97455,22.63283
269.990106900993,-0.000944839002731673,26.04606,24.89649,23.14471,21.7968,21.1852
270.00788307357,0.00624843386960838,23.1145,20.75946,19.15125,18.58924,18.14055
270.009260320519,0.00421489153616412,23.20131,25.81985,22.97185,21.71435,20.92344
269.999578043868,0.01034094865171,23.68771,22.94659,21.52972,21.07359,21.24734
270.007264791632,0.00787303721945064,23.47282,24.93208,22.12604,20.92209,19.87834
269.992427415959,0.00769609105852283,21.80935,20.03119,19.09799,18.71568,18.51933
269.991718923647,0.00695974037160185,23.39783,24.60931,22.96669,21.97421,21.23657
269.993675706209,0.00885342192483986,19.53942,17.45157,16.09725,15.55172,15.31112
270.002758495988,0.0106495208997384,24.17955,23.16574,21.17896,20.36389,19.86963
269.991605962157,0.00758621331325347,20.37162,21.51002,20.48913,20.2293,19.97622
269.990239810059,0.00596204410782559,20.15561,17.96936,16.91481,16.55172,16.32261
269.999266264746,0.011541450317527,23.40423,20.21197,18.90151,18.43637,18.1493
270.000119430111,0.0119778421029391,24.21776,24.2213,23.86448,24.36411,22.70705
269.996374190365,0.0116432212380255,25.14676,22.8291,20.99226,19.78957,19.04938
269.994727339762,0.0112596560906908,25.56547,24.32453,22.54143,21.60906,21.28049
270.012438627277,-0.000208993585729093,25.09528,24.28673,21.53902,20.54141,19.75069
270.00457143582,0.01158030181794,25.54836,25.03589,22.33769,21.51405,20.63643
269.990298779031,0.00832117243332693,24.66751,24.34125,22.17221,21.29178,21.0714
270.000459445907,0.0128551547312249,25.05864,22.11727,20.32662,19.13203,18.43393
270.005841251877,0.0115379185302627,22.27701,20.53042,19.32849,18.90373,18.60505
269.99712216231,0.0127359306219484,25.10196,22.69409,21.60464,20.98202,20.96134
269.987571366041,0.0042294419698072,19.39402,17.32165,16.18129,15.7343,15.45113
270.011029862771,0.00731286427854329,25.24853,22.28005,21.09947,20.75076,20.33605
270.000493508204,0.0134719505025488,25.49647,21.22337,19.77172,19.2084,18.83576
270.013518211282,-0.0012224292956174,19.28907,16.52675,14.92987,14.387,14.18885
270.013562326198,0.00106096157440599,23.12244,23.83496,22.34147,20.17916,19.90019
269.987532443003,0.00552002359769897,22.82497,25.38948,21.92634,20.62553,19.79102
270.003295934073,0.0132562498221959,23.70086,22.05091,20.02249,19.48802,19.2277
269.986153948073,0.00200957346428742,21.11249,18.2104,16.94477,16.47775,16.18051
270.002613847906,0.0137619116511239,23.80071,25.03039,22.90391,21.98885,21.32856
269.98865918085,0.00840399396511587,24.84415,24.00959,22.08586,21.30973,21.3734
269.994392421429,0.013084120941149,24.00518,24.05705,22.05361,20.87361,19.94593
270.013958317906,0.0034866011545666,22.74442,21.67198,20.81847,24.36317,22.83119
269.987585403355,0.00741317982588832,23.86043,24.94471,22.95783,21.02189,20.43176
270.014024582656,0.00427804646506499,24.58846,25.81978,22.2972,21.63152,20.78231
269.986805094916,0.00645667188531617,21.27693,19.58271,18.68985,18.37691,18.17215
270.0134840864,0.00584720063382446,21.33742,19.52847,18.689,18.36509,18.15852
269.986031163376,0.0047105778186806,24.55125,22.66395,21.55021,21.06395,20.85245
270.014627690684,0.0018398234209899,25.34911,20.98104,19.57707,19.19676,18.77438
270.012678925,0.00779763523481004,22.98706,20.8936,19.69394,19.27028,19.00936
269.987885829431,0.00882880184222869,25.8292,21.49722,21.87139,20.19238,19.70825
270.015031569477,0.000109354554509685,20.72237,19.33039,18.45975,18.1713,17.9737
269.985054266518,0.00161097711616909,17.58404,15.71328,14.76394,14.4444,14.2682
269.984833600502,-0.00111811033744834,23.58473,21.47189,20.86407,20.491,20.45057
270.009004759342,0.0123485774097127,23.90108,23.61913,21.58712,20.15764,19.3877
269.993578170093,0.0139098334096403,22.74329,20.66852,19.86521,19.41534,19.27425
270.000234732668,0.0153259264242591,24.75143,25.00934,21.63644,20.68934,19.88428
269.98992677696,0.0116021245265835,25.56451,21.36057,20.21501,19.7807,19.46417
269.984907873889,0.00351290054244495,23.91979,24.02065,21.54004,20.58974,20.00477
269.98795193777,0.00996101665098691,23.36324,20.68004,19.01934,18.34472,17.94733
270.011449339466,0.0106460918425074,22.44974,20.0022,18.79171,18.33156,18.05455
269.986067848229,0.00730968712447051,22.54146,20.52253,19.57045,19.19602,18.9211
269.997540655841,0.015734643732473,24.41244,22.85335,21.52949,21.15266,21.04947
270.007492607361,0.0141151885160667,26.03923,25.92737,22.50014,21.68899,21.248
270.013807947997,0.00812061603870177,22.95937,24.19511,21.58903,20.7336,20.1643
269.998880798073,0.016295671345413,24.94633,22.18152,21.02405,20.59956,20.48506
269.983926578617,0.00317193944133264,20.79893,19.48224,18.60278,18.23984,18.03804
269.984482481006,0.00562615487420253,22.76943,20.28946,19.42229,19.08657,18.92337
270.015530389181,0.00568979723123027,21.12502,19.58961,18.71007,18.38125,18.13346
269.994843557743,0.0158341384624658,24.51553,25.4575,23.01313,21.54025,21.0674
269.989497573539,0.0131320164832093,23.54482,22.37219,21.56285,21.36933,21.46776
270.006304099473,0.0156322307505721,17.83122,15.55115,14.36303,16.4175,13.62159
270.004142615389,0.0163551616767415,24.80352,24.75949,23.85783,22.07696,22.34698
270.009401493324,0.0140301608147208,21.49211,19.75298,18.8056,18.52937,18.30799
270.016834648941,0.00323986884516193,24.65486,20.77467,19.59648,19.11816,18.81094
269.991220841328,0.0147870399965055,23.32247,20.54911,19.57766,19.22861,18.97041
